IdKhachHang,City,IdInvoice,Day,Month,Year,Gender,ProductLine,PaymentMethod,Quantity,Rating,Gross Income
1,Yangon,750-67-8428,5,1,2019,Female,Health and beauty,Ewallet,7,9.1,26.1415
2,Yangon,123-19-1176,27,1,2019,Male,Electronic accessories,Ewallet,8,8.4,23.288
3,Yangon,355-53-5943,25,2,2019,Female,Home and lifestyle,Ewallet,6,5.8,20.652
4,Yangon,665-32-9167,10,1,2019,Female,Health and beauty,Credit card,2,7.2,3.626
5,Yangon,656-95-9349,11,3,2019,Female,Sports and travel,Credit card,7,4.6,24.1255
6,Yangon,549-59-1358,2,3,2019,Male,Electronic accessories,Ewallet,3,6,13.2945
7,Yangon,227-03-5010,22,3,2019,Female,Electronic accessories,Credit card,8,8.5,21.036
8,Yangon,129-29-8530,10,3,2019,Male,Home and lifestyle,Ewallet,5,7,15.655
9,Yangon,162-48-8011,10,2,2019,Female,Health and beauty,Cash,5,8.5,11.1475
10,Yangon,106-35-6779,27,3,2019,Male,Food and beverages,Cash,2,5.8,4.434
11,Yangon,589-02-8023,15,1,2019,Male,Fashion accessories,Credit card,2,7,8.377
12,Yangon,706-36-6154,18,1,2019,Male,Electronic accessories,Ewallet,9,8.7,8.712
13,Yangon,742-04-5161,3,2,2019,Male,Electronic accessories,Cash,10,7.3,36.39
14,Yangon,562-12-5430,18,1,2019,Female,Food and beverages,Ewallet,3,7.9,13.2225
15,Yangon,816-72-8853,29,1,2019,Female,Health and beauty,Cash,5,5.9,6.9825
16,Yangon,529-56-3981,17,2,2020,Male,Health and beauty,Ewallet,5,9.9,8.64
17,Yangon,491-38-3499,26,2,2019,Male,Health and beauty,Credit card,1,4.9,2.7725
18,Yangon,588-47-8641,14,1,2019,Male,Sports and travel,Ewallet,10,4.4,28.02
19,Yangon,274-05-5470,23,2,2019,Female,Food and beverages,Cash,4,6,14.694
20,Yangon,130-67-4723,11,1,2019,Male,Home and lifestyle,Ewallet,6,9.4,14.55
21,Yangon,105-10-6182,27,2,2019,Male,Electronic accessories,Ewallet,2,6.6,2.148
22,Yangon,817-48-8732,20,1,2019,Female,Health and beauty,Cash,10,5.4,36.175
23,Yangon,648-83-1321,16,1,2019,Male,Home and lifestyle,Cash,10,4.3,31.78
24,Yangon,689-05-1884,4,3,2019,Male,Electronic accessories,Cash,10,8.8,24.315
25,Yangon,800-09-8606,29,1,2019,Female,Sports and travel,Cash,5,6.6,21.8425
26,Yangon,182-52-7000,1,1,2019,Female,Home and lifestyle,Ewallet,4,6.9,5.408
27,Yangon,868-06-0466,19,2,2019,Male,Fashion accessories,Credit card,9,7.8,31.311
28,Yangon,786-94-2700,28,2,2019,Male,Fashion accessories,Cash,6,9.1,24.186
29,Yangon,857-16-3520,28,3,2019,Female,Food and beverages,Ewallet,7,4.5,25.011
30,Yangon,482-17-1179,19,1,2019,Male,Health and beauty,Credit card,3,8.1,1.791
31,Yangon,247-11-2470,1,3,2019,Female,Fashion accessories,Credit card,4,4.4,4.464
32,Yangon,756-49-0168,8,2,2019,Male,Sports and travel,Ewallet,1,9.5,0.985
33,Yangon,199-75-8169,6,3,2019,Male,Sports and travel,Credit card,10,8.6,7.905
34,Yangon,373-14-0504,12,2,2019,Female,Health and beauty,Ewallet,2,8.8,7.163
35,Yangon,546-80-2899,20,2,2019,Male,Food and beverages,Ewallet,2,9.5,3.769
36,Yangon,807-14-7833,22,2,2019,Female,Sports and travel,Ewallet,10,7,8.71
37,Yangon,250-17-5703,27,2,2019,Male,Sports and travel,Ewallet,10,5.6,9.425
38,Yangon,410-67-1709,20,1,2019,Female,Electronic accessories,Ewallet,8,9.9,25.552
39,Yangon,587-73-4862,26,3,2019,Female,Health and beauty,Ewallet,5,7.6,2.6725
40,Yangon,787-87-2010,20,1,2019,Male,Home and lifestyle,Credit card,4,6.6,11.1
41,Yangon,307-04-2070,5,2,2019,Female,Home and lifestyle,Credit card,1,4.1,1.531
42,Yangon,263-12-5321,27,2,2019,Male,Home and lifestyle,Credit card,7,9.3,32.41
43,Yangon,864-24-7918,22,2,2019,Female,Sports and travel,Cash,10,8.1,12.245
44,Yangon,877-22-3308,13,3,2019,Male,Food and beverages,Cash,10,5.8,7.935
45,Mandalay,529-56-3975,9,3,2020,Male,Food and beverages,Cash,10,6.8,5.102
46,Yangon,759-29-9521,4,3,2019,Female,Electronic accessories,Cash,9,8,22.032
47,Yangon,778-34-2523,24,1,2019,Female,Health and beauty,Cash,8,5,19.448
48,Yangon,186-43-8965,24,2,2019,Female,Food and beverages,Credit card,2,4.1,4.768
49,Yangon,569-76-2760,29,1,2019,Female,Electronic accessories,Credit card,4,6.6,4.402
50,Yangon,760-53-9233,26,3,2019,Male,Fashion accessories,Credit card,3,8.5,6.192
51,Yangon,416-17-9926,1,1,2019,Female,Food and beverages,Credit card,10,4.3,37.11
52,Yangon,528-14-9470,14,2,2019,Male,Food and beverages,Ewallet,1,9.2,4.565
53,Yangon,288-62-1085,9,1,2019,Male,Fashion accessories,Ewallet,5,5.6,9.635
54,Yangon,860-73-6466,2,3,2019,Female,Fashion accessories,Credit card,2,5,3.947
55,Yangon,804-38-3935,30,1,2019,Male,Home and lifestyle,Credit card,3,5.9,14.067
56,Mandalay,365-64-0521,15,3,2020,Male,Home and lifestyle,Credit card,3,4.4,3.32
57,Yangon,382-03-4532,2,2,2019,Female,Home and lifestyle,Cash,1,4.3,0.9165
58,Yangon,585-90-0249,27,1,2019,Male,Health and beauty,Ewallet,1,9.7,3.663
59,Yangon,160-22-2687,23,1,2019,Female,Home and lifestyle,Ewallet,5,8.8,23.9875
60,Yangon,748-45-2862,7,3,2019,Female,Electronic accessories,Cash,4,8.2,5.662
61,Yangon,316-66-3011,23,1,2019,Female,Sports and travel,Cash,9,5,21.4335
62,Yangon,840-76-5966,8,1,2019,Male,Home and lifestyle,Ewallet,2,7.8,1.276
